variant_id,scenario_id,confidence,prediction,reference,correct,p_A,p_B,p_C,p_D
F8_variant03,s008,0.64,C,A,False,0.06,0.3,0.64,0.0
F8_variant04,s008,0.51,C,A,False,0.06,0.43,0.51,0.0
F8_variant05,s008,0.51,C,A,False,0.03,0.46,0.51,0.0
F8_variant06,s008,0.49,B,A,False,0.03,0.49,0.48,0.0
F8_variant07,s008,0.63,C,A,False,0.07,0.3,0.63,0.0
F8_variant08,s008,0.51,C,A,False,0.06,0.43,0.51,0.0
F8_variant09,s008,0.62,C,A,False,0.02,0.36,0.62,0.0
F8_variant10,s008,0.61,C,A,False,0.03,0.36,0.61,0.0
F8_variant11,s008,0.7,C,A,False,0.05,0.25,0.7,0.0
F8_variant12,s008,0.62,C,A,False,0.05,0.33,0.62,0.0
F8_variant13,s008,0.6,C,A,False,0.03,0.37,0.6,0.0
F8_variant14,s008,0.54,C,A,False,0.04,0.42,0.54,0.0
F8_variant15,s008,0.6,C,A,False,0.07,0.33,0.6,0.0
F8_variant16,s008,0.59,C,A,False,0.06,0.35,0.59,0.0
F9_variant01,s009,0.77,D,D,True,0.0,0.0,0.23,0.77
F9_variant02,s009,0.55,D,D,True,0.0,0.0,0.45,0.55
F9_variant03,s009,0.91,D,D,True,0.0,0.0,0.09,0.91
F9_variant04,s009,0.74,D,D,True,0.0,0.0,0.26,0.74
F9_variant05,s009,0.69,D,D,True,0.0,0.0,0.31,0.69
F9_variant06,s009,0.55,D,D,True,0.0,0.0,0.45,0.55
F9_variant07,s009,0.87,D,D,True,0.0,0.0,0.13,0.87
F9_variant08,s009,0.73,D,D,True,0.0,0.0,0.27,0.73
F9_variant09,s009,0.74,D,D,True,0.0,0.0,0.26,0.74
F9_variant10,s009,0.51,D,D,True,0.0,0.0,0.49,0.51
F9_variant11,s009,0.88,D,D,True,0.0,0.0,0.12,0.88
F9_variant12,s009,0.69,D,D,True,0.0,0.0,0.31,0.69
F9_variant13,s009,0.72,D,D,True,0.0,0.0,0.28,0.72
F9_variant14,s009,0.53,D,D,True,0.0,0.0,0.47,0.53
F9_variant15,s009,0.88,D,D,True,0.0,0.0,0.12,0.88
F9_variant16,s009,0.66,D,D,True,0.0,0.0,0.34,0.66
MH1_variant01,s028,0.93,C,C,True,0.0,0.03,0.93,0.04
MH1_variant02,s028,0.93,C,C,True,0.0,0.02,0.93,0.05
MH1_variant03,s028,0.81,C,C,True,0.0,0.14,0.81,0.05
MH1_variant04,s028,0.83,C,C,True,0.0,0.11,0.83,0.06
MH1_variant05,s028,0.92,C,C,True,0.0,0.03,0.92,0.05
MH1_variant06,s028,0.92,C,C,True,0.0,0.02,0.92,0.06
MH1_variant07,s028,0.84,C,C,True,0.0,0.11,0.84,0.05
MH1_variant08,s028,0.86,C,C,True,0.0,0.07,0.86,0.07
MH1_variant09,s028,0.93,C,C,True,0.0,0.03,0.93,0.04
MH1_variant10,s028,0.91,C,C,True,0.0,0.01,0.91,0.08
MH1_variant11,s028,0.8099999999999999,C,C,True,0.0,0.13,0.8099999999999999,0.06
MH1_variant12,s028,0.84,C,C,True,0.0,0.09,0.84,0.07
MH1_variant13,s028,0.93,C,C,True,0.0,0.03,0.93,0.04
MH1_variant14,s028,0.91,C,C,True,0.0,0.02,0.91,0.07
MH1_variant15,s028,0.82,C,C,True,0.0,0.12,0.82,0.06
MH1_variant16,s028,0.82,C,C,True,0.0,0.11,0.82,0.07
MH3_variant01,s030,0.8,C,C,True,0.0,0.0,0.8,0.2
MH3_variant02,s030,0.86,C,C,True,0.0,0.0,0.86,0.14
MH3_variant03,s030,0.77,C,C,True,0.0,0.01,0.77,0.22
MH3_variant04,s030,0.83,C,C,True,0.0,0.02,0.83,0.15
MH3_variant05,s030,0.77,C,C,True,0.0,0.0,0.77,0.23
MH3_variant06,s030,0.82,C,C,True,0.0,0.0,0.82,0.18
MH3_variant07,s030,0.74,C,C,True,0.0,0.01,0.74,0.25
MH3_variant08,s030,0.86,C,C,True,0.0,0.02,0.86,0.12
MH3_variant09,s030,0.78,C,C,True,0.0,0.0,0.78,0.22
MH3_variant10,s030,0.88,C,C,True,0.0,0.0,0.88,0.12
MH3_variant11,s030,0.8,C,C,True,0.0,0.02,0.8,0.18
MH3_variant12,s030,0.84,C,C,True,0.0,0.01,0.84,0.15
MH3_variant13,s030,0.77,C,C,True,0.0,0.0,0.77,0.23
MH3_variant14,s030,0.89,C,C,True,0.0,0.0,0.89,0.11
MH3_variant15,s030,0.78,C,C,True,0.0,0.01,0.78,0.21
MH3_variant16,s030,0.87,C,C,True,0.0,0.03,0.87,0.1
NH1_variant01,s028,0.92,C,C,True,0.0,0.02,0.92,0.06
NH1_variant02,s028,0.91,C,C,True,0.0,0.01,0.91,0.08
NH1_variant03,s028,0.81,C,C,True,0.0,0.14,0.81,0.05
NH1_variant06,s028,0.92,C,C,True,0.0,0.01,0.92,0.07
NH1_variant07,s028,0.83,C,C,True,0.0,0.12,0.83,0.05
NH1_variant08,s028,0.83,C,C,True,0.0,0.09,0.83,0.08
NH1_variant10,s028,0.91,C,C,True,0.0,0.01,0.91,0.08
NH1_variant11,s028,0.8,C,C,True,0.0,0.13,0.8,0.07
NH1_variant12,s028,0.83,C,C,True,0.0,0.09,0.83,0.08
NH1_variant13,s028,0.93,C,C,True,0.0,0.02,0.93,0.05
NH1_variant14,s028,0.9,C,C,True,0.0,0.01,0.9,0.09
NH1_variant15,s028,0.81,C,C,True,0.0,0.13,0.81,0.06
NH1_variant16,s028,0.82,C,C,True,0.0,0.1,0.82,0.08
NH3_variant01,s030,0.87,C,C,True,0.0,0.01,0.87,0.12
NH3_variant02,s030,0.92,C,C,True,0.0,0.01,0.92,0.07
NH3_variant03,s030,0.8200000000000001,C,C,True,0.0,0.06,0.8200000000000001,0.12
NH3_variant04,s030,0.82,C,C,True,0.0,0.09,0.82,0.09
NH3_variant05,s030,0.87,C,C,True,0.0,0.01,0.87,0.12
NH3_variant06,s030,0.91,C,C,True,0.0,0.01,0.91,0.08
NH3_variant07,s030,0.81,C,C,True,0.0,0.06,0.81,0.13
NH3_variant08,s030,0.83,C,C,True,0.0,0.09,0.83,0.08
NH3_variant09,s030,0.86,C,C,True,0.0,0.01,0.86,0.13
NH3_variant10,s030,0.92,C,C,True,0.0,0.01,0.92,0.07
NH3_variant11,s030,0.83,C,C,True,0.0,0.06,0.83,0.11
NH3_variant12,s030,0.83,C,C,True,0.0,0.1,0.83,0.07
NH3_variant13,s030,0.86,C,C,True,0.0,0.01,0.86,0.13
NH3_variant14,s030,0.93,C,C,True,0.0,0.01,0.93,0.06
NH3_variant15,s030,0.82,C,C,True,0.0,0.04,0.82,0.14
NH3_variant16,s030,0.84,C,C,True,0.0,0.08,0.84,0.08
